CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Date
1,Male,19,15000,39,Healthcare,1,4,11/12/2019
2,Male,21,35000,81,Engineer,3,3,11/12/2019
3,Female,20,86000,6,Engineer,1,1,11/12/2019
4,Female,23,59000,77,Lawyer,0,2,11/12/2019
5,Female,31,38000,40,Entertainment,2,6,11/12/2019
6,Female,22,58000,76,Artist,0,2,11/12/2019
7,Female,35,31000,6,Healthcare,1,3,11/12/2019
8,Female,23,84000,94,Healthcare,1,3,11/12/2019
9,Male,64,97000,3,Engineer,0,3,11/12/2019
10,Female,30,98000,72,Artist,1,4,11/12/2019
11,Male,67,7000,14,Engineer,1,3,11/12/2019
12,Female,35,93000,99,Healthcare,4,4,11/12/2019
13,Female,58,80000,15,Executive,0,5,11/12/2019
14,Female,24,91000,77,Lawyer,1,1,11/12/2019
15,Male,37,19000,13,Doctor,0,1,11/12/2019
16,Male,22,51000,79,Healthcare,1,2,11/12/2019
17,Female,35,29000,35,Homemaker,9,5,11/12/2019
18,Male,20,89000,66,Healthcare,1,6,11/12/2019
19,Male,52,20000,29,Entertainment,1,4,11/12/2019
20,Female,35,62000,98,Artist,0,1,11/12/2019
21,Male,35,96000,35,Homemaker,12,1,11/12/2019
22,Male,25,4000,73,Healthcare,3,4,11/12/2019
23,Female,46,42000,5,Artist,13,2,11/12/2019
24,Male,31,71000,73,Artist,5,2,11/12/2019
25,Female,54,67000,14,Executive,1,3,11/12/2019
26,Male,29,52000,82,Artist,1,3,11/12/2019
27,Female,45,68000,32,Healthcare,9,8,11/12/2019
28,Male,35,78000,61,Artist,1,3,11/12/2019
29,Female,40,18000,31,Artist,0,1,11/12/2019
30,Female,23,20000,87,Artist,5,4,11/12/2019
31,Male,60,39000,4,Artist,0,3,11/12/2019
32,Female,21,34000,73,Doctor,1,2,11/12/2019
33,Male,53,59000,4,Healthcare,1,3,11/12/2019
34,Male,18,62000,92,Homemaker,9,7,11/12/2019
35,Female,49,91000,14,Lawyer,1,2,11/12/2019
36,Female,21,95000,81,Healthcare,3,4,11/12/2019
37,Female,42,14000,17,Doctor,5,1,11/12/2019
38,Female,30,62000,73,Healthcare,1,5,11/12/2019
39,Female,36,9000,26,Artist,8,2,11/12/2019
40,Female,20,69000,75,Artist,8,2,11/12/2019
41,Female,65,25000,35,Artist,4,1,11/12/2019
42,Male,24,85000,92,Healthcare,0,2,11/12/2019
43,Male,48,22000,36,Artist,14,3,11/12/2019
44,Female,31,33000,61,Artist,1,2,11/12/2019
45,Female,49,72000,28,Engineer,8,1,11/12/2019
46,Female,24,3000,65,Lawyer,4,2,11/12/2019
47,Female,50,52000,55,Artist,0,4,11/12/2019
48,Female,27,71000,47,Healthcare,12,1,11/12/2019
49,Female,29,78000,42,Healthcare,0,4,11/12/2019
50,Female,31,25000,42,Engineer,1,1,11/12/2019
51,Female,49,88000,52,Artist,1,2,11/12/2019
52,Male,33,97000,60,Artist,1,2,11/12/2019
53,Female,31,74000,54,Artist,1,1,11/12/2019
